Delta G of Unfolding
6891.406
1026.352
9560.9815
13545.347
12754.538
6083.825
6150.839
5874.281
16966.1345
13938.8505
11371.208
9259.6945
551.215
9606.98
7946.791
4329.1745
7966.2555
12476.187
14998.856
3765.8645
8412.732
11397.444
5665.351
7093.24
7173.666
-4608.1
11295.159
8449.2605
4654.399
8098.467
12623.2805
8464.6425
10703.582
9382.5865
18763.5485
3164.955
1152.538
4744.3425
4602.89
5390.971
10773.52
9816.2345
5584.938
12172.903
13878.152
1018.6235
10889.031
15124.6185
11800.89
3318.3295
3547.7775
6690.8465
-1745.1685
3845.1475
13048.6655
10113.941
7594.9925
2548.728
7259.4625
6218.384
5462.3065
9633.2185
9564.8105
14718.129
2450.6325
8483.594
9728.648
18643.7285
10853.735
12001.0575
2814.7065
8114.198
2172.458
18216.8085
13247.0105
13998.561
7222.9175
11956.2275
6037.809
9993.7295
11405.5865
1069.2775
9201.3615
11951.5725
3652.754
2345.801
15890.6715
8583.7895
10282.2765
2056.1585
10946.7765
5871.1005
9746.061
4345.887
10082.2205
9099.3995
3999.688
5983.918
2129.817
3306.359
5398.7225
8041.1235
8444.9795
2885.001
3682.725
6918.499
4437.518
8935.704
13634.5255
-3212.589
13174.777
7027.3415
10607.5435
15151.0245
11469.176
4299.959
7291.2225
6519.335
11053.576
9876.8225
3598.374
7438.628
6508.651
8887.676
8431.8815
6376.8595
17080.6405
14100.738
9905.1935
7263.1565
3528.1115
9057.68
18692.516
14880.0435
5224.1735
10044.8705
3815.8785
3972.256
7068.899
347.5305
5957.9345
4192.569
6704.274
14875.72
10586.8295
10013.9245
2690.138
13104.7705
12037.121
12579.5805
8703.323
13922.248
10522.9215
21280.318
9924.0935
14224.227
11576.177
8632.546
3866.1985
12913.4295
2895.133
9742.2705
9100.861
4156.8365
15050.1685
11304.5145
9321.6225
7357.1495
8008.5835
7211.258
10909.075
6303.752
6557.122
13159.0255
3198.192
3438.377
10677.081
8559.424
14127.4895
5161.252
4949.309
13767.214
16354.4735
-3170.4175
6625.923
6139.8765
14404.2585
14390.9
10681.5695
4479.008
6064.6365
2094.2035
11465.5465
